cgpa,resume_score,placed
6.75,1.23,0
3.48,3.01,0
7.63,7.09,1
9.03,1.78,1
1.27,2.97,0
5.55,1.24,0
2.79,6.85,0
5.9,2.98,0
6.3,8.28,1
8.25,7.28,1
4.06,2.4,0
9.61,4.03,1
1.83,1.87,0
8.63,6.43,1
8.26,7.57,1
5.83,9.76,1
4.41,5.97,0
8.46,6.57,1
8.76,6.2,1
7.34,1.41,0
3.05,3.6,0
1.72,3.1,0
1.91,3.5,0
6.72,4.28,0
2.89,3.4,0
9.43,6.83,1
6.48,2.54,0
7.56,2.47,0
9.91,6.76,1
6.01,7.16,0
7.98,3.06,1
3.84,3.41,0
2.9,9.49,0
8.89,3.83,1
4.56,9.23,0
3.38,3.22,0
6.05,3.36,0
6.26,9.08,1
4.59,2.97,0
9.98,5.59,1
1.82,1.42,0
1.99,6.65,0
8.13,4.8,1
4.43,9.97,0
9.74,8.75,1
1.1,7.49,0
7.14,5.83,1
6.77,2.0,0
4.91,5.08,0
9.58,8.88,1
3.37,5.51,0
2.61,9.21,0
8.83,3.69,1
6.48,2.38,0
7.86,5.85,1
5.77,1.01,0
3.92,1.18,0
9.36,8.91,1
8.48,3.77,1
8.9,9.52,1
1.77,5.37,0
1.62,7.85,0
7.89,2.16,0
5.95,3.39,0
8.85,4.81,1
2.91,5.85,0
7.57,2.81,0
9.96,6.85,1
4.94,5.66,0
2.09,3.02,0
4.04,6.29,0
3.07,2.98,0
1.64,6.68,0
3.06,9.15,0
8.74,1.64,1
7.02,2.93,0
2.19,9.42,0
6.14,5.25,0
8.27,2.71,1
4.88,4.81,0
5.2,7.56,0
9.86,1.89,1
4.05,8.76,0
2.71,5.04,0
4.8,3.51,0
3.25,9.31,0
4.99,8.75,0
1.46,9.99,0
8.52,9.72,1
9.34,8.64,1
2.5,5.37,0
2.92,4.61,0
1.53,4.41,0
9.87,3.39,1
8.06,5.1,1
9.62,9.96,1
6.0,7.47,1
3.67,9.72,0
5.88,7.73,1
6.26,5.53,0
2.42,9.65,0
1.72,2.67,0
6.36,7.08,1
2.08,9.01,0
3.22,6.35,0
6.57,4.77,0
5.71,9.41,1
7.45,3.15,0
7.05,3.7,0
7.77,1.65,0
9.99,9.96,1
1.66,2.92,0
3.39,9.4,0
8.93,8.91,1
4.33,2.42,0
8.5,7.33,1
6.51,9.89,1
6.89,1.07,0
8.35,3.69,1
9.45,2.21,1
1.96,5.98,0
3.45,6.44,0
7.46,2.83,0
3.38,5.4,0
9.15,8.61,1
1.83,4.81,0
3.49,1.03,0
7.94,6.73,1
3.36,7.67,0
5.97,4.85,0
1.09,1.68,0
8.95,9.14,1
5.91,8.51,1
2.33,2.15,0
3.77,9.09,0
8.75,9.09,1
2.89,3.25,0
1.93,8.02,0
8.96,4.66,1
6.59,2.39,0
9.37,8.78,1
9.79,8.3,1
8.93,1.22,0
3.99,9.38,0
8.78,8.3,1
3.4,8.09,0
1.97,8.85,0
8.73,3.0,0
5.14,3.75,0
8.16,3.05,1
2.74,3.95,0
8.78,9.7,1
3.51,6.77,0
4.6,9.83,0
9.45,2.04,0
2.61,9.66,0
3.39,1.98,0
4.91,7.56,0
6.46,5.6,0
6.19,3.29,0
7.38,1.02,0
9.33,5.85,1
7.47,7.68,1
7.04,4.28,1
6.98,3.97,0
8.63,7.48,1
3.7,3.78,0
4.68,4.62,0
3.66,2.15,0
4.78,9.46,0
9.13,6.54,1
3.71,5.93,0
1.0,3.58,0
4.87,6.22,0
6.89,5.18,0
2.92,5.26,0
9.11,8.16,1
2.53,1.76,0
5.64,6.7,0
8.37,7.76,1
7.06,3.02,0
1.22,3.2,0
5.28,8.65,1
4.73,6.67,0
2.75,7.27,0
5.45,3.2,0
6.9,1.05,0
7.76,7.93,1
1.96,4.83,0
2.58,9.62,0
5.66,1.45,0
3.24,8.64,0
5.11,8.21,0
9.89,6.36,1
9.55,9.02,1
6.51,7.47,1
8.48,5.93,1
9.07,7.69,1
5.27,3.33,0
3.23,6.74,0
